      freq          n          k
3.6583E+14    1.65951    0.0176
3.6513E+14    1.65782    0.01771
3.6443E+14    1.65613    0.01781
3.6374E+14    1.65444    0.01792
3.6305E+14    1.65274    0.01803
3.6236E+14    1.65104    0.01814
3.6167E+14    1.64934    0.01825
3.6098E+14    1.64763    0.01836
3.6030E+14    1.64592    0.01847
3.5962E+14    1.64421    0.01858
3.5895E+14    1.64249    0.01869
3.5827E+14    1.64077    0.0188
3.5760E+14    1.63904    0.01892
3.5693E+14    1.63732    0.01903
3.5626E+14    1.63559    0.01915
3.5560E+14    1.63385    0.01926
3.5494E+14    1.63211    0.01938
3.5428E+14    1.63037    0.01949
3.5362E+14    1.62863    0.01961
3.5297E+14    1.62688    0.01973
3.5232E+14    1.62513    0.01985
3.5167E+14    1.62337    0.01997
3.5102E+14    1.62161    0.02009
3.5038E+14    1.61985    0.02021
3.4973E+14    1.61808    0.02033
3.4910E+14    1.61631    0.02045
3.4846E+14    1.61454    0.02057
3.4782E+14    1.61276    0.0207
3.4719E+14    1.61098    0.02082
3.4656E+14    1.6092     0.02095
3.4593E+14    1.60741    0.02107
3.4531E+14    1.60561    0.0212
3.4468E+14    1.60382    0.02132
3.4406E+14    1.60202    0.02145
3.4344E+14    1.60021    0.02158
3.4283E+14    1.5984     0.02171
3.4221E+14    1.59659    0.02184
3.4160E+14    1.59478    0.02197
3.4099E+14    1.59295    0.0221
3.4038E+14    1.59113    0.02223
3.3978E+14    1.5893     0.02237
3.3917E+14    1.58747    0.0225
3.3857E+14    1.58563    0.02264
3.3797E+14    1.58379    0.02277
3.3738E+14    1.58195    0.02291
3.3678E+14    1.5801     0.02304
3.3619E+14    1.57825    0.02318
3.3560E+14    1.57639    0.02332
3.3501E+14    1.57453    0.02346
3.3443E+14    1.57267    0.0236
3.3384E+14    1.5708     0.02374
3.3326E+14    1.56893    0.02388
3.3268E+14    1.56705    0.02403
3.3210E+14    1.56517    0.02417
3.3153E+14    1.56328    0.02431
3.3095E+14    1.56139    0.02446
3.3038E+14    1.5595     0.0246
3.2981E+14    1.5576     0.02475
3.2924E+14    1.55569    0.0249
3.2868E+14    1.55379    0.02505
3.2811E+14    1.55187    0.0252
3.2755E+14    1.54996    0.02535
3.2699E+14    1.54804    0.0255
3.2643E+14    1.54611    0.02565
3.2588E+14    1.54418    0.0258
3.2532E+14    1.54225    0.02595
3.2477E+14    1.54031    0.02611
3.2422E+14    1.53836    0.02626
3.2367E+14    1.53642    0.02642
3.2312E+14    1.53446    0.02658
3.2258E+14    1.53251    0.02674
3.2204E+14    1.53054    0.0269
3.2149E+14    1.52858    0.02706
3.2096E+14    1.52661    0.02722
3.2042E+14    1.52463    0.02738
3.1988E+14    1.52265    0.02754
3.1935E+14    1.52066    0.0277
3.1882E+14    1.51867    0.02787
3.1829E+14    1.51668    0.02804
3.1776E+14    1.51468    0.0282
3.1723E+14    1.51267    0.02837
3.1671E+14    1.51066    0.02854
3.1618E+14    1.50865    0.02871
3.1566E+14    1.50663    0.02888
3.1514E+14    1.50461    0.02905
3.1463E+14    1.50258    0.02922
3.1411E+14    1.50054    0.0294
3.1359E+14    1.4985     0.02957
3.1308E+14    1.49646    0.02975
3.1257E+14    1.49441    0.02992
3.1206E+14    1.49236    0.0301
3.1155E+14    1.4903     0.03028
3.1105E+14    1.48823    0.03046
3.1054E+14    1.48616    0.03064
3.1004E+14    1.48409    0.03082
3.0954E+14    1.48201    0.03101
3.0904E+14    1.47992    0.03119
3.0854E+14    1.47783    0.03137
