       freq              n              k 
5.64402E+14    1.55868E+00    4.83042E-05
5.62725E+14    1.55846E+00    4.72360E-05
5.61059E+14    1.55824E+00    4.61976E-05
5.59402E+14    1.55802E+00    4.51879E-05
5.57755E+14    1.55781E+00    4.42061E-05
5.56118E+14    1.55760E+00    4.32512E-05
5.54491E+14    1.55739E+00    4.23223E-05
5.52873E+14    1.55719E+00    4.14187E-05
5.51265E+14    1.55698E+00    4.05395E-05
5.49666E+14    1.55678E+00    3.96839E-05
5.48076E+14    1.55658E+00    3.88511E-05
5.46495E+14    1.55638E+00    3.80405E-05
5.44924E+14    1.55619E+00    3.72513E-05
5.43361E+14    1.55599E+00    3.64830E-05
5.41808E+14    1.55580E+00    3.57347E-05
5.40263E+14    1.55561E+00    3.50059E-05
5.38727E+14    1.55543E+00    3.42961E-05
5.37200E+14    1.55524E+00    3.36045E-05
5.35682E+14    1.55506E+00    3.29307E-05
5.34172E+14    1.55488E+00    3.22741E-05
5.32670E+14    1.55470E+00    3.16341E-05
5.31178E+14    1.55452E+00    3.10104E-05
5.29693E+14    1.55434E+00    3.04024E-05
5.28217E+14    1.55417E+00    2.98095E-05
5.26749E+14    1.55400E+00    2.92315E-05
5.25289E+14    1.55382E+00    2.86678E-05
5.23838E+14    1.55366E+00    2.81180E-05
5.22394E+14    1.55349E+00    2.75816E-05
5.20958E+14    1.55332E+00    2.70584E-05
5.19530E+14    1.55316E+00    2.65480E-05
5.18110E+14    1.55300E+00    2.60498E-05
5.16698E+14    1.55283E+00    2.55637E-05
5.15294E+14    1.55267E+00    2.50892E-05
5.13897E+14    1.55252E+00    2.46261E-05
5.12508E+14    1.55236E+00    2.41739E-05
5.11126E+14    1.55221E+00    2.37324E-05
5.09752E+14    1.55205E+00    2.33013E-05
5.08385E+14    1.55190E+00    2.28803E-05
5.07025E+14    1.55175E+00    2.24691E-05
5.05673E+14    1.55160E+00    2.20674E-05
5.04328E+14    1.55145E+00    2.16750E-05
5.02990E+14    1.55131E+00    2.12916E-05
5.01659E+14    1.55116E+00    2.09170E-05
5.00336E+14    1.55102E+00    2.05509E-05
4.99019E+14    1.55088E+00    2.01931E-05
4.97709E+14    1.55074E+00    1.98433E-05
4.96406E+14    1.55060E+00    1.95014E-05
4.95110E+14    1.55046E+00    1.91672E-05
4.93821E+14    1.55032E+00    1.88404E-05
4.92539E+14    1.55019E+00    1.85208E-05
4.91263E+14    1.55005E+00    1.82082E-05
4.89994E+14    1.54992E+00    1.79025E-05
4.88731E+14    1.54979E+00    1.76035E-05
4.87475E+14    1.54966E+00    1.73110E-05
4.86225E+14    1.54953E+00    1.70248E-05
4.84982E+14    1.54940E+00    1.67448E-05
4.83745E+14    1.54927E+00    1.64708E-05
4.82515E+14    1.54915E+00    1.62027E-05
4.81290E+14    1.54902E+00    1.59402E-05
4.80072E+14    1.54890E+00    1.56833E-05
4.78860E+14    1.54878E+00    1.54318E-05
4.77655E+14    1.54865E+00    1.51856E-05
4.76455E+14    1.54853E+00    1.49445E-05
4.75261E+14    1.54842E+00    1.47084E-05
4.74074E+14    1.54830E+00    1.44773E-05
4.72892E+14    1.54818E+00    1.42509E-05
4.71717E+14    1.54806E+00    1.40291E-05
4.70547E+14    1.54795E+00    1.38119E-05
4.69383E+14    1.54783E+00    1.35990E-05
4.68224E+14    1.54772E+00    1.33905E-05
4.67072E+14    1.54761E+00    1.31862E-05
4.65925E+14    1.54750E+00    1.29860E-05
4.64784E+14    1.54739E+00    1.27899E-05
4.63648E+14    1.54728E+00    1.25976E-05
4.62518E+14    1.54717E+00    1.24091E-05
4.61394E+14    1.54706E+00    1.22243E-05
4.60275E+14    1.54696E+00    1.20432E-05
4.59161E+14    1.54685E+00    1.18656E-05
4.58053E+14    1.54675E+00    1.16915E-05
4.56950E+14    1.54664E+00    1.15208E-05
4.55853E+14    1.54654E+00    1.13534E-05
4.54760E+14    1.54644E+00    1.11892E-05
4.53674E+14    1.54634E+00    1.10281E-05
4.52592E+14    1.54624E+00    1.08701E-05
4.51515E+14    1.54614E+00    1.07151E-05
4.50444E+14    1.54604E+00    1.05631E-05
4.49378E+14    1.54594E+00    1.04139E-05
4.48316E+14    1.54584E+00    1.02675E-05
4.47260E+14    1.54575E+00    1.01239E-05
4.46209E+14    1.54565E+00    9.98289E-06
4.45163E+14    1.54556E+00    9.84453E-06
4.44122E+14    1.54546E+00    9.70874E-06
4.43085E+14    1.54537E+00    9.57543E-06
4.42054E+14    1.54528E+00    9.44457E-06
4.41027E+14    1.54518E+00    9.31610E-06
4.40005E+14    1.54509E+00    9.18996E-06
4.38988E+14    1.54500E+00    9.06611E-06
4.37975E+14    1.54491E+00    8.94449E-06
4.36968E+14    1.54483E+00    8.82505E-06
4.35964E+14    1.54474E+00    8.70775E-06
4.34966E+14    1.54465E+00    8.59254E-06
4.33972E+14    1.54456E+00    8.47937E-06
4.32983E+14    1.54448E+00    8.36820E-06
4.31998E+14    1.54439E+00    8.25899E-06
4.31018E+14    1.54431E+00    8.15169E-06
4.30042E+14    1.54422E+00    8.04627E-06
4.29070E+14    1.54414E+00    7.94267E-06
4.28104E+14    1.54406E+00    7.84088E-06
4.27141E+14    1.54398E+00    7.74085E-06
4.26183E+14    1.54389E+00    7.64253E-06
4.25229E+14    1.54381E+00    7.54589E-06
4.24279E+14    1.54373E+00    7.45091E-06
4.23334E+14    1.54365E+00    7.35754E-06
4.22393E+14    1.54357E+00    7.26575E-06
4.21456E+14    1.54350E+00    7.17550E-06
4.20523E+14    1.54342E+00    7.08678E-06
4.19594E+14    1.54334E+00    6.99954E-06
4.18670E+14    1.54327E+00    6.91375E-06
4.17750E+14    1.54319E+00    6.82938E-06
4.16833E+14    1.54311E+00    6.74642E-06
4.15921E+14    1.54304E+00    6.66482E-06
4.15013E+14    1.54297E+00    6.58456E-06
4.14109E+14    1.54289E+00    6.50561E-06
4.13208E+14    1.54282E+00    6.42795E-06
4.12312E+14    1.54275E+00    6.35155E-06
4.11420E+14    1.54267E+00    6.27638E-06
4.10531E+14    1.54260E+00    6.20243E-06
4.09646E+14    1.54253E+00    6.12966E-06
4.08766E+14    1.54246E+00    6.05806E-06
4.07889E+14    1.54239E+00    5.98760E-06
4.07015E+14    1.54232E+00    5.91825E-06
4.06146E+14    1.54225E+00    5.85001E-06
4.05280E+14    1.54218E+00    5.78283E-06
4.04418E+14    1.54212E+00    5.71672E-06
4.03560E+14    1.54205E+00    5.65164E-06
4.02705E+14    1.54198E+00    5.58757E-06
4.01854E+14    1.54192E+00    5.52449E-06
4.01007E+14    1.54185E+00    5.46240E-06
4.00163E+14    1.54178E+00    5.40126E-06
3.99323E+14    1.54172E+00    5.34105E-06
3.98486E+14    1.54166E+00    5.28177E-06
3.97653E+14    1.54159E+00    5.22340E-06
3.96823E+14    1.54153E+00    5.16591E-06
3.95997E+14    1.54146E+00    5.10929E-06
3.95174E+14    1.54140E+00    5.05353E-06
3.94355E+14    1.54134E+00    4.99860E-06
3.93539E+14    1.54128E+00    4.94449E-06
3.92727E+14    1.54122E+00    4.89120E-06
3.91918E+14    1.54116E+00    4.83869E-06
3.91112E+14    1.54109E+00    4.78697E-06
3.90310E+14    1.54103E+00    4.73601E-06
3.89511E+14    1.54098E+00    4.68579E-06
3.88715E+14    1.54092E+00    4.63632E-06
3.87922E+14    1.54086E+00    4.58757E-06
3.87133E+14    1.54080E+00    4.53952E-06
3.86347E+14    1.54074E+00    4.49218E-06
3.85564E+14    1.54068E+00    4.44551E-06
3.84785E+14    1.54063E+00    4.39953E-06
3.84009E+14    1.54057E+00    4.35420E-06
3.83235E+14    1.54051E+00    4.30952E-06
3.82465E+14    1.54046E+00    4.26547E-06
3.81698E+14    1.54040E+00    4.22206E-06
3.80934E+14    1.54035E+00    4.17925E-06
3.80174E+14    1.54029E+00    4.13705E-06
3.79416E+14    1.54024E+00    4.09545E-06
3.78661E+14    1.54018E+00    4.05443E-06
3.77910E+14    1.54013E+00    4.01398E-06
3.77161E+14    1.54007E+00    3.97409E-06
3.76415E+14    1.54002E+00    3.93476E-06
3.75673E+14    1.53997E+00    3.89597E-06
3.74933E+14    1.53992E+00    3.85772E-06
3.74196E+14    1.53986E+00    3.81999E-06
3.73462E+14    1.53981E+00    3.78278E-06
3.72731E+14    1.53976E+00    3.74607E-06
3.72003E+14    1.53971E+00    3.70987E-06
3.71278E+14    1.53966E+00    3.67415E-06
3.70556E+14    1.53961E+00    3.63892E-06
3.69836E+14    1.53956E+00    3.60416E-06
3.69120E+14    1.53951E+00    3.56987E-06
3.68406E+14    1.53946E+00    3.53604E-06
3.67695E+14    1.53941E+00    3.50265E-06
3.66987E+14    1.53936E+00    3.46971E-06
3.66281E+14    1.53931E+00    3.43721E-06
3.65578E+14    1.53927E+00    3.40514E-06
3.64878E+14    1.53922E+00    3.37348E-06
3.64181E+14    1.53917E+00    3.34225E-06
3.63486E+14    1.53912E+00    3.31142E-06
3.62794E+14    1.53908E+00    3.28099E-06
3.62105E+14    1.53903E+00    3.25096E-06
3.61418E+14    1.53898E+00    3.22131E-06
3.60734E+14    1.53894E+00    3.19205E-06
3.60052E+14    1.53889E+00    3.16316E-06
3.59373E+14    1.53885E+00    3.13465E-06
3.58697E+14    1.53880E+00    3.10650E-06
3.58023E+14    1.53876E+00    3.07870E-06
3.57352E+14    1.53871E+00    3.05126E-06
3.56684E+14    1.53867E+00    3.02417E-06
3.56018E+14    1.53862E+00    2.99742E-06
3.55354E+14    1.53858E+00    2.97100E-06
3.54693E+14    1.53854E+00    2.94492E-06
3.54034E+14    1.53849E+00    2.91916E-06
3.53378E+14    1.53845E+00    2.89372E-06
3.52725E+14    1.53841E+00    2.86860E-06
3.52074E+14    1.53837E+00    2.84379E-06
3.51425E+14    1.53832E+00    2.81929E-06
3.50778E+14    1.53828E+00    2.79508E-06
3.50134E+14    1.53824E+00    2.77118E-06
3.49493E+14    1.53820E+00    2.74756E-06
3.48854E+14    1.53816E+00    2.72423E-06
3.48217E+14    1.53812E+00    2.70119E-06
3.47582E+14    1.53808E+00    2.67843E-06
3.46950E+14    1.53804E+00    2.65594E-06
3.46321E+14    1.53800E+00    2.63371E-06
3.45693E+14    1.53796E+00    2.61176E-06
3.45068E+14    1.53792E+00    2.59007E-06
3.44445E+14    1.53788E+00    2.56864E-06
3.43824E+14    1.53784E+00    2.54746E-06
3.43206E+14    1.53780E+00    2.52653E-06
3.42590E+14    1.53776E+00    2.50586E-06
3.41976E+14    1.53772E+00    2.48542E-06
3.41364E+14    1.53768E+00    2.46522E-06
3.40755E+14    1.53765E+00    2.44526E-06
3.40148E+14    1.53761E+00    2.42554E-06
3.39543E+14    1.53757E+00    2.40604E-06
3.38940E+14    1.53753E+00    2.38677E-06
3.38339E+14    1.53750E+00    2.36772E-06
3.37741E+14    1.53746E+00    2.34889E-06
3.37144E+14    1.53742E+00    2.33028E-06
3.36550E+14    1.53739E+00    2.31188E-06
3.35958E+14    1.53735E+00    2.29369E-06
3.35368E+14    1.53731E+00    2.27571E-06
3.34780E+14    1.53728E+00    2.25793E-06
3.34194E+14    1.53724E+00    2.24035E-06
3.33610E+14    1.53721E+00    2.22298E-06
3.33029E+14    1.53717E+00    2.20579E-06
3.32449E+14    1.53714E+00    2.18880E-06
3.31871E+14    1.53710E+00    2.17200E-06
3.31296E+14    1.53707E+00    2.15539E-06
3.30722E+14    1.53703E+00    2.13896E-06
3.30151E+14    1.53700E+00    2.12272E-06
3.29581E+14    1.53697E+00    2.10665E-06
3.29014E+14    1.53693E+00    2.09077E-06
3.28448E+14    1.53690E+00    2.07505E-06
3.27885E+14    1.53686E+00    2.05951E-06
3.27323E+14    1.53683E+00    2.04414E-06
3.26763E+14    1.53680E+00    2.02894E-06
3.26206E+14    1.53677E+00    2.01390E-06
3.25650E+14    1.53673E+00    1.99902E-06
3.25096E+14    1.53670E+00    1.98431E-06
3.24544E+14    1.53667E+00    1.96975E-06
3.23994E+14    1.53664E+00    1.95535E-06
3.23446E+14    1.53660E+00    1.94110E-06
3.22900E+14    1.53657E+00    1.92701E-06
3.22355E+14    1.53654E+00    1.91307E-06
3.21813E+14    1.53651E+00    1.89927E-06
3.21272E+14    1.53648E+00    1.88562E-06
3.20733E+14    1.53645E+00    1.87212E-06
3.20196E+14    1.53642E+00    1.85875E-06
3.19661E+14    1.53639E+00    1.84553E-06
3.19128E+14    1.53636E+00    1.83245E-06
3.18596E+14    1.53632E+00    1.81950E-06
3.18066E+14    1.53629E+00    1.80669E-06
3.17538E+14    1.53626E+00    1.79401E-06
3.17012E+14    1.53623E+00    1.78146E-06
3.16488E+14    1.53621E+00    1.76904E-06
3.15965E+14    1.53618E+00    1.75675E-06
3.15444E+14    1.53615E+00    1.74458E-06
3.14925E+14    1.53612E+00    1.73254E-06
3.14408E+14    1.53609E+00    1.72063E-06
3.13892E+14    1.53606E+00    1.70883E-06
3.13378E+14    1.53603E+00    1.69715E-06
3.12866E+14    1.53600E+00    1.68560E-06
3.12355E+14    1.53597E+00    1.67415E-06
3.11846E+14    1.53595E+00    1.66283E-06
3.11339E+14    1.53592E+00    1.65162E-06
3.10833E+14    1.53589E+00    1.64052E-06
3.10330E+14    1.53586E+00    1.62953E-06
3.09827E+14    1.53583E+00    1.61865E-06
3.09327E+14    1.53581E+00    1.60788E-06
3.08828E+14    1.53578E+00    1.59721E-06
3.08331E+14    1.53575E+00    1.58665E-06
3.07835E+14    1.53572E+00    1.57620E-06
3.07341E+14    1.53570E+00    1.56584E-06
3.06849E+14    1.53567E+00    1.55559E-06
3.06358E+14    1.53564E+00    1.54544E-06
3.05869E+14    1.53562E+00    1.53539E-06
3.05381E+14    1.53559E+00    1.52544E-06
3.04895E+14    1.53557E+00    1.51558E-06
3.04411E+14    1.53554E+00    1.50581E-06
3.03928E+14    1.53551E+00    1.49615E-06
3.03447E+14    1.53549E+00    1.48657E-06
3.02967E+14    1.53546E+00    1.47709E-06
3.02489E+14    1.53544E+00    1.46770E-06
3.02012E+14    1.53541E+00    1.45839E-06
3.01537E+14    1.53539E+00    1.44918E-06
3.01063E+14    1.53536E+00    1.44005E-06
3.00591E+14    1.53533E+00    1.43101E-06
3.00120E+14    1.53531E+00    1.42205E-06
2.96001E+14    1.53509E+00    1.34602E-06
2.95013E+14    1.53504E+00    1.32839E-06
2.94031E+14    1.53499E+00    1.31111E-06
2.93056E+14    1.53494E+00    1.29416E-06
2.92087E+14    1.53489E+00    1.27754E-06
2.91124E+14    1.53484E+00    1.26124E-06
2.90167E+14    1.53479E+00    1.24524E-06
2.89217E+14    1.53475E+00    1.22955E-06
2.88272E+14    1.53470E+00    1.21416E-06
2.87334E+14    1.53465E+00    1.19906E-06
2.86402E+14    1.53461E+00    1.18424E-06
2.85475E+14    1.53456E+00    1.16969E-06
2.84555E+14    1.53451E+00    1.15541E-06
2.83640E+14    1.53447E+00    1.14140E-06
2.82731E+14    1.53442E+00    1.12764E-06
2.81827E+14    1.53438E+00    1.11413E-06
2.80930E+14    1.53434E+00    1.10087E-06
2.80037E+14    1.53429E+00    1.08785E-06
2.79151E+14    1.53425E+00    1.07506E-06
2.78270E+14    1.53421E+00    1.06250E-06
2.77394E+14    1.53416E+00    1.05016E-06
2.76524E+14    1.53412E+00    1.03803E-06
2.75659E+14    1.53408E+00    1.02613E-06
2.74799E+14    1.53404E+00    1.01443E-06
2.73944E+14    1.53400E+00    1.00293E-06
2.73095E+14    1.53396E+00    9.91631E-07
2.72251E+14    1.53392E+00    9.80528E-07
2.71412E+14    1.53388E+00    9.69615E-07
2.70578E+14    1.53384E+00    9.58888E-07
2.69749E+14    1.53380E+00    9.48343E-07
2.68925E+14    1.53377E+00    9.37976E-07
2.68106E+14    1.53373E+00    9.27784E-07
2.67292E+14    1.53369E+00    9.17762E-07
2.66483E+14    1.53365E+00    9.07906E-07
2.65678E+14    1.53362E+00    8.98214E-07
2.64878E+14    1.53358E+00    8.88682E-07
2.64083E+14    1.53355E+00    8.79306E-07
2.63293E+14    1.53351E+00    8.70083E-07
2.62507E+14    1.53347E+00    8.61010E-07
2.61726E+14    1.53344E+00    8.52084E-07
2.60949E+14    1.53340E+00    8.43301E-07
2.60177E+14    1.53337E+00    8.34659E-07
2.59409E+14    1.53334E+00    8.26155E-07
2.58646E+14    1.53330E+00    8.17786E-07
2.57887E+14    1.53327E+00    8.09549E-07
2.57132E+14    1.53324E+00    8.01442E-07
2.56382E+14    1.53320E+00    7.93461E-07
2.55636E+14    1.53317E+00    7.85605E-07
2.54895E+14    1.53314E+00    7.77871E-07
2.54157E+14    1.53311E+00    7.70256E-07
2.53424E+14    1.53308E+00    7.62758E-07
2.52695E+14    1.53304E+00    7.55375E-07
2.51970E+14    1.53301E+00    7.48104E-07
2.51249E+14    1.53298E+00    7.40943E-07
2.50532E+14    1.53295E+00    7.33891E-07
2.49819E+14    1.53292E+00    7.26944E-07
2.49110E+14    1.53289E+00    7.20101E-07
2.48405E+14    1.53286E+00    7.13361E-07
2.47703E+14    1.53283E+00    7.06720E-07
2.47006E+14    1.53280E+00    7.00177E-07
2.46313E+14    1.53277E+00    6.93730E-07
2.45623E+14    1.53275E+00    6.87377E-07
2.44937E+14    1.53272E+00    6.81117E-07
2.44255E+14    1.53269E+00    6.74948E-07
2.43577E+14    1.53266E+00    6.68868E-07
2.42902E+14    1.53263E+00    6.62875E-07
2.42231E+14    1.53261E+00    6.56967E-07
2.41564E+14    1.53258E+00    6.51145E-07
2.40900E+14    1.53255E+00    6.45404E-07
2.40240E+14    1.53253E+00    6.39745E-07
2.39583E+14    1.53250E+00    6.34165E-07
2.38930E+14    1.53247E+00    6.28664E-07
2.38280E+14    1.53245E+00    6.23239E-07
2.37634E+14    1.53242E+00    6.17889E-07
2.36991E+14    1.53240E+00    6.12614E-07
2.36352E+14    1.53237E+00    6.07411E-07
2.35716E+14    1.53235E+00    6.02279E-07
2.35083E+14    1.53232E+00    5.97218E-07
2.34454E+14    1.53230E+00    5.92225E-07
2.33828E+14    1.53227E+00    5.87299E-07
2.33205E+14    1.53225E+00    5.82441E-07
2.32585E+14    1.53222E+00    5.77647E-07
2.31969E+14    1.53220E+00    5.72918E-07
2.31356E+14    1.53217E+00    5.68251E-07
2.30746E+14    1.53215E+00    5.63646E-07
2.30139E+14    1.53213E+00    5.59103E-07
2.29536E+14    1.53210E+00    5.54619E-07
2.28935E+14    1.53208E+00    5.50193E-07
2.28338E+14    1.53206E+00    5.45826E-07
2.27743E+14    1.53204E+00    5.41515E-07
2.27152E+14    1.53201E+00    5.37260E-07
2.26563E+14    1.53199E+00    5.33059E-07
2.25978E+14    1.53197E+00    5.28913E-07
2.25396E+14    1.53195E+00    5.24820E-07
2.24816E+14    1.53193E+00    5.20778E-07
2.24239E+14    1.53190E+00    5.16788E-07
2.23666E+14    1.53188E+00    5.12849E-07
2.23095E+14    1.53186E+00    5.08959E-07
2.22527E+14    1.53184E+00    5.05117E-07
2.21962E+14    1.53182E+00    5.01324E-07
2.21400E+14    1.53180E+00    4.97578E-07
2.20840E+14    1.53178E+00    4.93878E-07
2.20284E+14    1.53176E+00    4.90224E-07
2.19730E+14    1.53174E+00    4.86615E-07
