# Frequency (Hz), Power (W m^-2 Hz^-1)
1.131292294339622656e+14,3.348537790767237520e-30
1.133430843100189062e+14,2.099980439467893607e-29
1.135577492424242344e+14,2.731649773524322899e-27
1.137732288425047344e+14,9.038694431565721150e-27
1.139895277566539844e+14,6.466241368887272887e-56
1.142066506666666562e+14,8.892071907125829552e-39
1.144246022900763281e+14,1.293804802787934108e-39
1.146433873804971094e+14,2.553792300538795763e-48
1.148630107279693438e+14,1.350797519729465922e-44
1.150834771593090156e+14,1.314072782061115157e-45
1.153047915384615312e+14,1.012717671503264050e-38
1.155269587668593438e+14,5.129937690093590705e-44
1.157499837837837812e+14,1.226037925543810788e-41
1.159738715667311250e+14,3.832457207779390810e-45
1.161986271317829375e+14,8.484792155778649679e-33
1.164242555339805625e+14,2.385581069220895437e-38
1.166507618677042812e+14,3.361577701864667934e-29
1.168781512670565312e+14,3.501473505214063701e-25
1.171064289062500000e+14,6.781113619609470220e-22
1.173356000000000000e+14,2.272236644292098731e-20
1.175656698039215625e+14,6.121353293017130820e-24
1.177966436149312344e+14,1.161443193977881915e-21
1.180285267716535312e+14,8.116566614894630111e-18
1.182613246548323281e+14,3.751655084998837562e-18
1.184950426877470156e+14,1.357780767453463142e-17
1.187296863366336719e+14,8.802964803904438148e-16
1.189652611111111094e+14,7.849020724864266776e-15
1.192017725646123281e+14,1.094599494561000494e-14
1.194392262948207188e+14,4.657525984192703914e-14
1.196776279441117656e+14,3.179663204702769178e-14
1.199169831999999844e+14,1.472727175811741467e-13
1.201572977955911719e+14,5.974347069798534031e-14
1.203985775100401406e+14,7.261827490670231575e-14
1.206408281690140625e+14,1.155607700277770567e-13
1.208840556451612969e+14,1.649345721699242941e-13
1.211282658585858594e+14,3.362231326546580419e-13
1.213734647773279375e+14,3.404013395827322434e-13
1.216196584178498906e+14,4.894341981745251427e-13
1.218668528455284531e+14,6.734643431223343246e-13
1.221150541751527344e+14,4.996444984783441645e-13
1.223642685714285625e+14,2.725219575070164576e-13
1.226145022494887344e+14,4.147234549509582357e-13
1.228657614754098125e+14,8.588850037047966921e-13
1.231180525667351094e+14,2.942535984344209338e-13
1.233713818930041094e+14,8.882981475804838884e-13
1.236257558762886562e+14,6.488465888958420967e-13
1.238811809917355312e+14,5.194315995767980143e-13
1.241376637681159375e+14,5.310998934469525760e-13
1.243952107883817344e+14,6.550841425770624762e-13
1.246538286902286719e+14,6.482399766541160175e-13
1.249135241666666562e+14,8.482668366527087319e-13
1.251743039665970781e+14,7.766979876791963425e-13
1.254361748953974844e+14,7.070568763274225629e-13
1.256991438155136250e+14,5.848887094084268078e-13
1.259632176470588125e+14,8.039947048968124700e-13
1.262284033684210469e+14,8.306302084323949617e-13
1.264947080168776250e+14,5.773861305743723807e-13
1.267621386892177500e+14,9.218232368774268891e-13
1.270307025423728594e+14,9.333123223533531521e-13
1.273004067940551875e+14,8.782290474598932719e-13
1.275712587234042656e+14,7.651378608063579822e-13
1.278432656716417969e+14,9.428185314788672800e-13
1.281164350427350469e+14,8.371778372089666563e-13
1.283907743040685156e+14,1.054226409441561069e-12
1.286662909871244531e+14,1.029017926795209934e-12
1.289429926881720312e+14,1.013625263965113050e-12
1.292208870689655000e+14,9.341517670868160779e-13
1.294999818574513906e+14,1.039354701594928314e-12
1.297802848484848281e+14,1.136842164988687243e-12
1.300618039045553125e+14,1.048648803149677685e-12
1.303445469565217344e+14,1.037981282371019479e-12
1.306285220043572969e+14,1.076358921027292902e-12
1.309137371179039219e+14,1.105871722763619469e-12
1.312002004376367500e+14,1.098609602113472993e-12
1.314879201754385781e+14,1.149433649861865853e-12
1.317769046153845938e+14,1.105260253495103267e-12
1.320671621145374219e+14,1.114948543168487968e-12
1.323587011037527344e+14,1.166000449634393780e-12
1.326515300884955781e+14,1.140277386164264234e-12
1.329456576496674062e+14,1.148145435499915146e-12
1.332410924444444375e+14,1.214777266011141619e-12
1.335378432071269375e+14,1.190908181385937502e-12
1.338359187499999844e+14,1.223769534589159180e-12
1.341353279642057969e+14,1.237990524348014423e-12
1.344360798206277812e+14,1.256908043030222029e-12
1.347381833707865000e+14,1.245993680484784151e-12
1.350416477477477344e+14,1.277832453009875403e-12
1.353464821670428906e+14,1.248238537825391067e-12
1.356526959276018125e+14,1.292168569163937979e-12
1.359602984126984062e+14,1.200291937464284251e-12
1.362692990909090781e+14,1.149520846184863300e-12
1.365797075170842656e+14,1.269496348704009430e-12
1.368915333333333281e+14,1.264935206608833534e-12
1.372047862700228750e+14,1.187216236607259985e-12
1.375194761467889688e+14,1.296844963324594858e-12
1.378356128735632188e+14,1.269442608859759862e-12
1.381532064516129062e+14,1.287927544861718972e-12
1.384722669745958438e+14,1.193099193142477214e-12
1.387928046296296250e+14,1.309918050039804656e-12
1.391148296983758594e+14,1.314239469626684382e-12
1.394383525581395312e+14,1.305048766436946204e-12
1.397633836829836719e+14,1.373374520148869264e-12
1.400899336448597969e+14,1.386547733632445446e-12
1.404180131147540781e+14,1.369083180538184504e-12
1.407476328638497812e+14,1.358592085061726174e-12
1.410788037647058750e+14,1.335019825615493260e-12
1.414115367924528125e+14,1.313093430789376694e-12
1.417458430260047188e+14,1.367859479056674760e-12
1.420817336492890938e+14,1.331416327358042010e-12
1.424192199524940625e+14,1.376830072973350089e-12
1.427583133333333125e+14,1.267031640936077407e-12
