# Frequency (Hz), Power (W m^-2 Hz^-1)
1.074524939068100312e+14,3.192392168184564665e-27
1.076454068222621250e+14,1.015604643312941488e-37
1.078390136690647500e+14,1.251114558725823468e-44
1.080333181981981875e+14,1.036707951472215000e-48
1.082283241877256250e+14,2.163412967513679450e-34
1.084240354430379688e+14,6.885720928476459622e-38
1.086204557971014375e+14,0.000000000000000000e+00
1.088175891107077969e+14,1.702912291242497252e-54
1.090154392727272656e+14,4.227336999918791275e-39
1.092140102003642969e+14,3.323738404386410645e-34
1.094133058394160625e+14,5.868746904900455790e-38
1.096133301645338125e+14,1.375343078927623098e-31
1.098140871794871719e+14,1.514707031422384955e-29
1.100155809174311875e+14,1.810481282187559302e-32
1.102178154411764688e+14,1.383274014184839930e-55
1.104207948434622344e+14,9.478335593252317181e-37
1.106245232472324531e+14,2.753249379609143279e-46
1.108290048059149531e+14,7.144651811921169003e-53
1.110342437037037031e+14,0.000000000000000000e+00
1.112402441558441562e+14,1.720445073204610007e-43
1.114470104089219375e+14,2.456667065320235359e-40
1.116545467411545625e+14,0.000000000000000000e+00
1.118628574626865625e+14,0.000000000000000000e+00
1.120719469158878438e+14,0.000000000000000000e+00
1.122818194756554219e+14,0.000000000000000000e+00
1.124924795497185625e+14,2.616612694272649585e-48
1.127039315789473594e+14,6.108109897814707458e-36
1.129161800376647812e+14,3.065156825926555098e-38
1.131292294339622656e+14,3.323005043709271421e-30
1.133430843100189062e+14,2.083738425134096955e-29
1.135577492424242344e+14,2.710029056167917025e-27
1.137732288425047344e+14,8.967361306167348757e-27
1.139895277566539844e+14,6.466241368887272887e-56
1.142066506666666562e+14,8.821049335737459739e-39
1.144246022900763281e+14,1.283523971773832793e-39
1.146433873804971094e+14,2.533263423524818888e-48
1.148630107279693438e+14,1.339958782418736055e-44
1.150834771593090156e+14,1.303637704588285460e-45
1.153047915384615312e+14,1.004690251413863237e-38
1.155269587668593438e+14,5.091302552047523090e-44
1.157499837837837812e+14,1.216550580802136401e-41
1.159738715667311250e+14,3.803480853410929293e-45
1.161986271317829375e+14,8.422400712962567161e-33
1.164242555339805625e+14,2.368329509476853593e-38
1.166507618677042812e+14,3.338003916696262944e-29
1.168781512670565312e+14,3.477552438960956216e-25
1.171064289062500000e+14,6.742202006963098062e-22
1.173356000000000000e+14,2.259607058727274664e-20
1.175656698039215625e+14,6.087516884764326294e-24
1.177966436149312344e+14,1.155199340354986619e-21
1.180285267716535312e+14,8.074602183621310903e-18
1.182613246548323281e+14,3.733006131028154936e-18
1.184950426877470156e+14,1.351076520744228170e-17
